AP162APH06==> [AD Thread-Metric Reporter0] 29 Apr 2024 17:12:16,452  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59994 every 60000
AP162APH06==> [extension-scheduler-pool-10] 29 Apr 2024 17:14:42,860  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 17:16:41,820  INFO ControllerTimeSkewHandler - Agent timestamp: 1714396601820; Controller timestamp: 1714396585360; Skew value=16460 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter1] 29 Apr 2024 17:17:16,451  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 60009 every 60000
AP162APH06==> [extension-scheduler-pool-2] 29 Apr 2024 17:20:12,863  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 17:21:41,864  INFO ControllerTimeSkewHandler - Agent timestamp: 1714396901864; Controller timestamp: 1714396885391; Skew value=16473 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter0] 29 Apr 2024 17:22:16,476  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59997 every 60000
AP162APH06==> [extension-scheduler-pool-8] 29 Apr 2024 17:25:12,869  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 17:26:41,898  INFO ControllerTimeSkewHandler - Agent timestamp: 1714397201898; Controller timestamp: 1714397185419; Skew value=16479 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter1] 29 Apr 2024 17:27:16,479  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 60000 every 60000
AP162APH06==> [extension-scheduler-pool-3] 29 Apr 2024 17:30:42,885  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 17:31:41,933  INFO ControllerTimeSkewHandler - Agent timestamp: 1714397501933; Controller timestamp: 1714397485448; Skew value=16485 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter0] 29 Apr 2024 17:32:16,485  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 60000 every 60000
AP162APH06==> [extension-scheduler-pool-9] 29 Apr 2024 17:35:42,903  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 17:36:41,982  INFO ControllerTimeSkewHandler - Agent timestamp: 1714397801982; Controller timestamp: 1714397785479; Skew value=16503 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter1] 29 Apr 2024 17:37:16,501  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 60002 every 60000
AP162APH06==> [extension-scheduler-pool-5] 29 Apr 2024 17:41:12,894  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 17:41:42,016  INFO ControllerTimeSkewHandler - Agent timestamp: 1714398102016; Controller timestamp: 1714398085505; Skew value=16511 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter0] 29 Apr 2024 17:42:16,506  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 60005 every 60000
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 17:46:42,053  INFO ControllerTimeSkewHandler - Agent timestamp: 1714398402053; Controller timestamp: 1714398385538; Skew value=16515 msec; agentLagging=false
AP162APH06==> [extension-scheduler-pool-10] 29 Apr 2024 17:46:42,914  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [AD Thread-Metric Reporter1] 29 Apr 2024 17:47:16,524  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59991 every 60000
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 17:51:42,101  INFO ControllerTimeSkewHandler - Agent timestamp: 1714398702101; Controller timestamp: 1714398685568; Skew value=16533 msec; agentLagging=false
AP162APH06==> [extension-scheduler-pool-4] 29 Apr 2024 17:51:42,930  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [AD Thread-Metric Reporter1] 29 Apr 2024 17:52:16,526  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 60007 every 60000
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 17:56:42,146  INFO ControllerTimeSkewHandler - Agent timestamp: 1714399002146; Controller timestamp: 1714398985603; Skew value=16543 msec; agentLagging=false
AP162APH06==> [extension-scheduler-pool-1] 29 Apr 2024 17:56:42,941  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [AD Thread-Metric Reporter0] 29 Apr 2024 17:57:16,549  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59994 every 60000
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 18:01:42,182  INFO ControllerTimeSkewHandler - Agent timestamp: 1714399302182; Controller timestamp: 1714399285640; Skew value=16542 msec; agentLagging=false
AP162APH06==> [extension-scheduler-pool-4] 29 Apr 2024 18:02:12,930  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [AD Thread-Metric Reporter1] 29 Apr 2024 18:02:16,555  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59987 every 60000
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 18:06:42,208  INFO ControllerTimeSkewHandler - Agent timestamp: 1714399602208; Controller timestamp: 1714399585679; Skew value=16529 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter0] 29 Apr 2024 18:07:16,547  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59982 every 60000
AP162APH06==> [extension-scheduler-pool-5] 29 Apr 2024 18:07:42,922  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 18:11:42,234  INFO ControllerTimeSkewHandler - Agent timestamp: 1714399902234; Controller timestamp: 1714399885742; Skew value=16492 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter1] 29 Apr 2024 18:12:16,529  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59963 every 60000
AP162APH06==> [extension-scheduler-pool-0] 29 Apr 2024 18:13:12,869  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 18:16:42,250  INFO ControllerTimeSkewHandler - Agent timestamp: 1714400202250; Controller timestamp: 1714400185770; Skew value=16480 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter0] 29 Apr 2024 18:17:16,501  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59979 every 60000
AP162APH06==> [extension-scheduler-pool-8] 29 Apr 2024 18:18:12,858  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 18:21:42,274  INFO ControllerTimeSkewHandler - Agent timestamp: 1714400502274; Controller timestamp: 1714400485799; Skew value=16475 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter1] 29 Apr 2024 18:22:16,494  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59981 every 60000
AP162APH06==> [extension-scheduler-pool-5] 29 Apr 2024 18:23:42,876  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 18:26:42,325  INFO ControllerTimeSkewHandler - Agent timestamp: 1714400802325; Controller timestamp: 1714400785830; Skew value=16495 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter0] 29 Apr 2024 18:27:16,483  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 60012 every 60000
AP162APH06==> [extension-scheduler-pool-9] 29 Apr 2024 18:28:42,892  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 18:31:42,363  INFO ControllerTimeSkewHandler - Agent timestamp: 1714401102363; Controller timestamp: 1714401085859; Skew value=16504 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter1] 29 Apr 2024 18:32:16,505  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59999 every 60000
AP162APH06==> [extension-scheduler-pool-8] 29 Apr 2024 18:34:12,881  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 18:36:42,397  INFO ControllerTimeSkewHandler - Agent timestamp: 1714401402397; Controller timestamp: 1714401385888; Skew value=16509 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter0] 29 Apr 2024 18:37:16,506  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 60003 every 60000
AP162APH06==> [extension-scheduler-pool-2] 29 Apr 2024 18:39:42,897  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 18:41:42,433  INFO ControllerTimeSkewHandler - Agent timestamp: 1714401702433; Controller timestamp: 1714401685915; Skew value=16518 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter1] 29 Apr 2024 18:42:16,518  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 60000 every 60000
AP162APH06==> [extension-scheduler-pool-1] 29 Apr 2024 18:44:42,913  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 18:46:42,475  INFO ControllerTimeSkewHandler - Agent timestamp: 1714402002475; Controller timestamp: 1714401985946; Skew value=16529 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter0] 29 Apr 2024 18:47:16,525  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 60004 every 60000
AP162APH06==> [extension-scheduler-pool-8] 29 Apr 2024 18:50:12,903  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 18:51:42,511  INFO ControllerTimeSkewHandler - Agent timestamp: 1714402302511; Controller timestamp: 1714402285975; Skew value=16536 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter1] 29 Apr 2024 18:52:16,530  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 60006 every 60000
AP162APH06==> [extension-scheduler-pool-2] 29 Apr 2024 18:55:42,920  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 18:56:42,542  INFO ControllerTimeSkewHandler - Agent timestamp: 1714402602542; Controller timestamp: 1714402586004; Skew value=16538 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter0] 29 Apr 2024 18:57:16,543  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59995 every 60000
AP162APH06==> [extension-scheduler-pool-9] 29 Apr 2024 19:00:42,907  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 19:01:42,560  INFO ControllerTimeSkewHandler - Agent timestamp: 1714402902560; Controller timestamp: 1714402886044; Skew value=16516 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter1] 29 Apr 2024 19:02:16,545  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59971 every 60000
AP162APH06==> [extension-scheduler-pool-4] 29 Apr 2024 19:05:42,902  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 19:06:42,593  INFO ControllerTimeSkewHandler - Agent timestamp: 1714403202593; Controller timestamp: 1714403186076; Skew value=16517 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter0] 29 Apr 2024 19:07:16,525  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59992 every 60000
AP162APH06==> [extension-scheduler-pool-11] 29 Apr 2024 19:11:12,898  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 19:11:42,601  INFO ControllerTimeSkewHandler - Agent timestamp: 1714403502601; Controller timestamp: 1714403486083; Skew value=16518 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter1] 29 Apr 2024 19:12:16,522  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59996 every 60000
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 19:16:42,631  INFO ControllerTimeSkewHandler - Agent timestamp: 1714403802631; Controller timestamp: 1714403786122; Skew value=16509 msec; agentLagging=false
AP162APH06==> [extension-scheduler-pool-7] 29 Apr 2024 19:16:42,891  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [AD Thread-Metric Reporter0] 29 Apr 2024 19:17:16,532  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59977 every 60000
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 19:21:42,658  INFO ControllerTimeSkewHandler - Agent timestamp: 1714404102658; Controller timestamp: 1714404086153; Skew value=16505 msec; agentLagging=false
